transcript_id,position,KSS,MS
ENST00000343702.9,1,0.00,0
ENST00000343702.9,2,0.00,0
ENST00000343702.9,3,0.00,0
ENST00000343702.9,4,0.00,0
ENST00000343702.9,5,0.00,0
ENST00000343702.9,6,0.00,0
ENST00000343702.9,7,0.00,0
ENST00000343702.9,8,0.00,0
ENST00000343702.9,9,0.00,0
ENST00000343702.9,10,0.00,0
ENST00000343702.9,11,0.00,0
ENST00000343702.9,12,0.00,0
ENST00000343702.9,13,0.00,0
ENST00000343702.9,14,0.00,0
ENST00000343702.9,15,0.00,0
ENST00000343702.9,16,0.00,0
ENST00000343702.9,17,0.00,0
ENST00000343702.9,18,0.00,0
ENST00000343702.9,19,0.00,0
ENST00000343702.9,20,0.00,0
ENST00000343702.9,21,0.00,0
ENST00000343702.9,22,0.00,0
ENST00000343702.9,23,0.00,0
ENST00000343702.9,24,0.00,0
ENST00000343702.9,25,0.00,0
ENST00000343702.9,26,0.00,0
ENST00000343702.9,27,0.00,0
ENST00000343702.9,28,0.00,0
ENST00000343702.9,29,0.00,0
ENST00000343702.9,30,0.00,0
ENST00000343702.9,31,0.00,0
ENST00000343702.9,32,0.00,0
ENST00000343702.9,33,0.00,0
ENST00000343702.9,34,0.00,0
ENST00000343702.9,35,0.00,0
ENST00000343702.9,36,0.00,0
ENST00000343702.9,37,0.00,0
ENST00000343702.9,38,0.00,0
ENST00000343702.9,39,0.00,0
ENST00000343702.9,40,0.00,0
ENST00000343702.9,41,0.00,0
ENST00000343702.9,42,0.00,0
ENST00000343702.9,43,0.00,0
ENST00000343702.9,44,0.00,0
ENST00000343702.9,45,0.00,0
ENST00000343702.9,46,0.00,0
ENST00000343702.9,47,0.00,0
ENST00000343702.9,48,0.00,0
ENST00000343702.9,49,0.00,0
ENST00000343702.9,50,0.00,0
ENST00000343702.9,51,0.00,0
ENST00000343702.9,52,0.00,0
ENST00000343702.9,53,0.00,0
ENST00000343702.9,54,0.00,0
ENST00000343702.9,55,0.00,0
ENST00000343702.9,56,0.00,0
ENST00000343702.9,57,0.00,0
ENST00000343702.9,58,0.00,0
ENST00000343702.9,59,0.00,0
ENST00000343702.9,60,0.00,0
ENST00000343702.9,61,0.00,0
ENST00000343702.9,62,0.00,0
ENST00000343702.9,63,0.00,0
ENST00000343702.9,64,0.00,0
ENST00000343702.9,65,0.00,0
ENST00000343702.9,66,0.00,0
ENST00000343702.9,67,0.00,0
ENST00000343702.9,68,0.00,0
ENST00000343702.9,69,0.00,0
ENST00000343702.9,70,0.00,0
ENST00000343702.9,71,0.00,0
ENST00000343702.9,72,0.00,0
ENST00000343702.9,73,0.00,0
ENST00000343702.9,74,0.00,0
ENST00000343702.9,75,0.00,0
ENST00000343702.9,76,0.00,0
ENST00000343702.9,77,0.00,0
ENST00000343702.9,78,0.00,0
ENST00000343702.9,79,0.00,0
ENST00000343702.9,80,0.00,0
ENST00000343702.9,81,0.00,0
ENST00000343702.9,82,0.00,0
ENST00000343702.9,83,0.00,0
ENST00000343702.9,84,0.00,0
ENST00000343702.9,85,0.00,0
ENST00000343702.9,86,0.00,0
ENST00000343702.9,87,0.00,0
